x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z
1.907533891,0.896181361,0.083891144,,,,,,
0.705156515,1.108238882,-1.010099759,,,,,,
-1.780873608,0.72617232,-0.51151723,,,,,,
-1.42457826,0.103205937,-0.187279556,,,,,,
1.241755755,1.186059153,0.132369058,,,,,,
-0.003494639,0.921296695,-0.364380407,,,,,,
0.805872997,-0.437712795,0.184758568,,,,,,
0.896265447,1.001797624,1.477671272,,,,,,
0.365978589,0.642887117,0.238905827,,,,,,
-0.67812412,0.752344289,-0.53298929,,,,,,
-1.452067866,-0.799626633,,,,,,,
0.12281095,1.20130693,0.132050504,,,,,,
1.699143974,0.707379491,,,,,,,
-0.001921415,0.884648682,,,,,,,
0.826070502,0.650928059,-0.310986935,,,,,,
-0.133022278,1.6873919,2.65505312,,,,,,
-1.090058735,0.229926114,-0.572304448,,,,,,
-0.049223257,0.387728268,-0.792788768,,,,,,
-0.481548889,-0.993550872,,,,,,,
-0.644594816,-0.326486101,-1.003947328,,,,,,
-2.263424285,-2.329573484,,,,,,,
